Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
Agricultural and food scientists,36,N/A,23,N/A,13,N/A
Biological scientists,101,"1,250",57,"1,266",44,N/A
Conservation scientists and foresters,20,N/A,11,N/A,8,N/A
Medical scientists,146,"1,188",77,"1,214",70,"1,175"
"Life scientists, all other",3,N/A,2,N/A,1,N/A
Astronomers and physicists,15,N/A,10,N/A,4,N/A
Atmospheric and space scientists,13,N/A,9,N/A,5,N/A
Chemists and materials scientists,85,"1,582",49,N/A,36,N/A
Environmental scientists and geoscientists,101,"1,486",65,"1,519",36,N/A
"Physical scientists, all other",278,"1,669",158,"1,901",120,"1,385"
Economists,35,N/A,26,N/A,9,N/A
Survey researchers,0,N/A,0,N/A,0,N/A
Psychologists,114,"1,468",22,N/A,93,"1,441"
Sociologists,2,N/A,0,N/A,2,N/A
Urban and regional planners,22,N/A,14,N/A,8,N/A
Miscellaneous social scientists and related workers,32,N/A,20,N/A,12,N/A
Agricultural and food science technicians,20,N/A,16,N/A,4,N/A
Biological technicians,20,N/A,8,N/A,12,N/A
Chemical technicians,61,893,41,N/A,20,N/A
Geological and petroleum technicians,18,N/A,12,N/A,6,N/A
Nuclear technicians,3,N/A,2,N/A,1,N/A
Social science research assistants,1,N/A,0,N/A,1,N/A
"Miscellaneous life, physical, and social science technicians",108,907,57,928,51,896
Community and social service occupations,"2,240",968,742,"1,064","1,498",941
Counselors,720,987,179,944,541,"1,003"
Social workers,739,964,136,"1,108",603,944
Probation officers and correctional treatment specialists,94,"1,067",50,"1,050",45,N/A
Social and human service assistants,207,805,41,N/A,166,778
"Miscellaneous community and social service specialists, including health educators and community health workers",66,920,20,N/A,46,N/A
Clergy,332,"1,066",275,"1,155",57,862
"Directors, religious activities and education",48,N/A,29,N/A,19,N/A
"Religious workers, all other",34,N/A,13,N/A,21,N/A
Legal occupations,"1,478","1,562",670,"1,999",808,"1,266"
Lawyers,884,"2,043",548,"2,202",336,"1,878"
Judicial law clerks,12,N/A,5,N/A,7,N/A
"Judges, magistrates, and other judicial workers",61,"1,794",27,N/A,34,N/A
Paralegals and legal assistants,364,963,41,N/A,323,970
Miscellaneous legal support workers,157,"1,124",49,N/A,109,"1,009"
"Education, training, and library occupations","7,238","1,057","1,991","1,265","5,247",987
Postsecondary teachers,986,"1,512",544,"1,670",442,"1,358"
Preschool and kindergarten teachers,496,701,7,N/A,489,705
Elementary and middle school teachers,"3,162","1,067",640,"1,161","2,522","1,042"
Secondary school teachers,882,"1,161",408,"1,262",474,"1,095"
Special education teachers,295,"1,108",42,N/A,253,"1,104"
Other teachers and instructors,455,"1,054",192,"1,190",263,942
"Archivists, curators, and museum technicians",34,N/A,15,N/A,19,N/A
Librarians,138,"1,095",27,N/A,111,"1,093"
Library technicians,9,N/A,2,N/A,7,N/A
Teacher assistants,637,590,72,707,565,579
"Other education, training, and library workers",143,"1,143",41,N/A,102,"1,058"
"Arts, design, entertainment, sports, and media occupations","1,762","1,151",956,"1,231",806,"1,077"
Artists and related workers,83,"1,155",48,N/A,35,N/A
Designers,661,"1,126",337,"1,214",324,"1,052"
Actors,13,N/A,7,N/A,6,N/A
