Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",16,N/A,15,N/A,2,N/A
"Forging machine setters, operators, and tenders, metal and plastic",9,N/A,8,N/A,1,N/A
"Rolling machine setters, operators, and tenders, metal and plastic",13,N/A,10,N/A,3,N/A
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",67,830,58,816,9,N/A
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",7,N/A,7,N/A,0,N/A
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",40,N/A,35,N/A,5,N/A
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",5,N/A,5,N/A,0,N/A
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,N/A,4,N/A,1,N/A
Machinists,357,888,335,889,22,N/A
"Metal furnace operators, tenders, pourers, and casters",26,N/A,25,N/A,1,N/A
"Model makers and patternmakers, metal and plastic",4,N/A,3,N/A,1,N/A
"Molders and molding machine setters, operators, and tenders, metal and plastic",37,N/A,32,N/A,4,N/A
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,N/A,2,N/A,0,N/A
Tool and die makers,53,952,51,972,2,N/A
"Welding, soldering, and brazing workers",549,801,518,810,31,N/A
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,N/A,4,N/A,0,N/A
"Layout workers, metal and plastic",8,N/A,8,N/A,0,N/A
"Plating and coating machine setters, operators, and tenders, metal and plastic",12,N/A,11,N/A,1,N/A
"Tool grinders, filers, and sharpeners",1,N/A,1,N/A,0,N/A
"Metal workers and plastic workers, all other",385,736,312,795,74,592
Prepress technicians and workers,27,N/A,17,N/A,10,N/A
Printing press operators,109,814,87,886,22,N/A
Print binding and finishing workers,15,N/A,12,N/A,3,N/A
Laundry and dry-cleaning workers,112,490,37,N/A,74,482
"Pressers, textile, garment, and related materials",19,N/A,6,N/A,14,N/A
Sewing machine operators,138,524,40,N/A,98,521
Shoe and leather workers and repairers,6,N/A,5,N/A,1,N/A
Shoe machine operators and tenders,4,N/A,1,N/A,3,N/A
"Tailors, dressmakers, and sewers",55,576,19,N/A,36,N/A
Textile bleaching and dyeing machine operators and tenders,0,N/A,0,N/A,0,N/A
"Textile cutting machine setters, operators, and tenders",3,N/A,3,N/A,0,N/A
"Textile knitting and weaving machine setters, operators, and tenders",6,N/A,1,N/A,4,N/A
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,N/A,4,N/A,7,N/A
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,N/A,0,N/A,0,N/A
Fabric and apparel patternmakers,1,N/A,0,N/A,1,N/A
Upholsterers,21,N/A,18,N/A,3,N/A
"Textile, apparel, and furnishings workers, all other",10,N/A,7,N/A,3,N/A
Cabinetmakers and bench carpenters,44,N/A,41,N/A,3,N/A
Furniture finishers,14,N/A,7,N/A,7,N/A
"Model makers and patternmakers, wood",0,N/A,0,N/A,0,N/A
"Sawing machine setters, operators, and tenders, wood",28,N/A,24,N/A,4,N/A
"Woodworking machine setters, operators, and tenders, except sawing",14,N/A,11,N/A,3,N/A
"Woodworkers, all other",10,N/A,10,N/A,0,N/A
"Power plant operators, distributors, and dispatchers",38,N/A,36,N/A,2,N/A
Stationary engineers and boiler operators,51,869,50,862,2,N/A
Water and wastewater treatment plant and system operators,105,931,97,930,8,N/A
Miscellaneous plant and system operators,46,N/A,44,N/A,1,N/A
"Chemical processing machine setters, operators, and tenders",75,999,67,"1,017",8,N/A
"Crushing, grinding, polishing, mixing, and blending workers",79,764,74,772,5,N/A
Cutting workers,50,762,42,N/A,8,N/A
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",29,N/A,26,N/A,3,N/A
"Furnace, kiln, oven, drier, and kettle operators and tenders",17,N/A,16,N/A,2,N/A
"Inspectors, testers, sorters, samplers, and weighers",722,835,463,939,259,693
Jewelers and precious stone and metal workers,24,N/A,14,N/A,11,N/A
"Medical, dental, and ophthalmic laboratory technicians",79,779,35,N/A,44,N/A
Packaging and filling machine operators and tenders,244,575,116,646,128,533
Painting workers,160,780,144,804,15,N/A
Photographic process workers and processing machine operators,9,N/A,2,N/A,7,N/A
Semiconductor processors,1,N/A,1,N/A,0,N/A
Adhesive bonding machine operators and tenders,12,N/A,10,N/A,2,N/A
"Cleaning, washing, and metal pickling equipment operators and tenders",1,N/A,0,N/A,1,N/A
Cooling and freezing equipment operators and tenders,3,N/A,3,N/A,0,N/A
Etchers and engravers,6,N/A,4,N/A,2,N/A
"Molders, shapers, and casters, except metal and plastic",28,N/A,22,N/A,6,N/A
"Paper goods machine setters, operators, and tenders",20,N/A,19,N/A,2,N/A
Tire builders,12,N/A,12,N/A,0,N/A
Helpers--production workers,29,N/A,25,N/A,4,N/A
"Production workers, all other","1,056",704,763,767,293,566
Transportation and material moving occupations,"7,612",711,"6,352",747,"1,260",586
Supervisors of transportation and material moving workers,184,923,156,978,28,N/A
Aircraft pilots and flight engineers,118,"1,857",109,"1,670",9,N/A
Air traffic controllers and airfield operations specialists,40,N/A,34,N/A,6,N/A
Flight attendants,70,823,13,N/A,57,835
"Ambulance drivers and attendants, except emergency medical technicians",12,N/A,6,N/A,6,N/A
Bus drivers,364,674,205,718,159,625
Driver/sales workers and truck drivers,"2,723",843,"2,564",861,159,660
Taxi drivers and chauffeurs,406,614,356,624,50,520
"Motor vehicle operators, all other",34,N/A,29,N/A,5,N/A
Locomotive engineers and operators,39,N/A,37,N/A,2,N/A
"Railroad brake, signal, and switch operators",3,N/A,2,N/A,1,N/A
Railroad conductors and yardmasters,59,"1,160",57,"1,170",2,N/A
"Subway, streetcar, and other rail transportation workers",10,N/A,8,N/A,2,N/A
Sailors and marine oilers,20,N/A,19,N/A,1,N/A
Ship and boat captains and operators,33,N/A,29,N/A,3,N/A
Ship engineers,6,N/A,6,N/A,0,N/A
Bridge and lock tenders,0,N/A,0,N/A,0,N/A
Parking lot attendants,58,561,50,581,8,N/A
Automotive and watercraft service attendants,67,518,59,520,8,N/A
Transportation inspectors,42,N/A,37,N/A,5,N/A
"Transportation attendants, except flight attendants",22,N/A,10,N/A,12,N/A
Other transportation workers,31,N/A,27,N/A,4,N/A
Conveyor operators and tenders,1,N/A,0,N/A,1,N/A
Crane and tower operators,63,"1,070",59,"1,104",4,N/A
"Dredge, excavating, and loading machine operators",19,N/A,19,N/A,0,N/A
Hoist and winch operators,9,N/A,9,N/A,0,N/A
Industrial truck and tractor operators,541,677,489,686,52,625
Cleaners of vehicles and equipment,254,587,225,595,29,N/A
"Laborers and freight, stock, and material movers, hand","1,764",634,"1,402",657,362,567
Machine feeders and offbearers,21,N/A,10,N/A,11,N/A
"Packers and packagers, hand",467,530,202,576,265,515
Pumping station operators,11,N/A,11,N/A,0,N/A
Refuse and recyclable material collectors,78,686,72,683,5,N/A
Mine shuttle car operators,2,N/A,1,N/A,1,N/A
"Tank car, truck, and ship loaders",5,N/A,5,N/A,0,N/A
"Material moving workers, all other",39,N/A,35,N/A,3,N/A
